1,Bahrain,05 Mar 2023,Max Verstappen,Red Bull Racing Honda RBPT,57,1:33:56.736
2,Saudi Arabia,19 Mar 2023,Sergio Perez,Red Bull Racing Honda RBPT,50,1:21:14.894
3,Australia,02 Apr 2023,Max Verstappen,Red Bull Racing Honda RBPT,58,2:32:38.371
4,Azerbaijan,30 Apr 2023,Sergio Perez,Red Bull Racing Honda RBPT,51,1:32:42.436
5,Miami,07 May 2023,Max Verstappen,Red Bull Racing Honda RBPT,57,1:27:38.241
6,Monaco,28 May 2023,Max Verstappen,Red Bull Racing Honda RBPT,78,1:48:51.980
7,Spain,04 Jun 2023,Max Verstappen,Red Bull Racing Honda RBPT,66,1:27:57.940
8,Canada,18 Jun 2023,Max Verstappen,Red Bull Racing Honda RBPT,70,1:33:58.348
